                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.2196,                  6.395,                 4.2062,                0.00045,                0.33333,                0.00049,                 0.0001,                 2.5627,                 7.8263,                 4.1565,                0.00016,                0.00016,                0.00016
                      2,                 3.2011,                 6.9772,                 4.1607,                0.00045,                0.33333,                0.00049,                 0.0001,                 2.5609,                 7.8562,                 4.1496,             0.00033663,             0.00033663,             0.00033663
                      3,                  3.267,                 6.5408,                 4.1879,                0.00057,                0.42105,                0.00054,                0.00014,                 2.5731,                 7.8163,                 4.1367,              0.0005097,              0.0005097,              0.0005097
                      4,                 3.0191,                 5.6967,                  4.119,                0.00071,                0.52632,                0.00074,                 0.0002,                 2.5726,                 7.6216,                 4.1194,             0.00067921,             0.00067921,             0.00067921
                      5,                 3.2313,                 6.3167,                 4.0697,                0.00071,                0.52632,                0.00072,                0.00025,                 2.5544,                 6.8463,                 4.0724,             0.00084515,             0.00084515,             0.00084515
                      6,                 2.6574,                 12.721,                 3.5383,                0.00071,                0.52632,                0.00073,                0.00024,                 2.4609,                 6.2833,                 4.1216,              0.0010075,              0.0010075,              0.0010075
                      7,                 3.3124,                  5.763,                 3.9827,                0.00085,                0.63158,                0.00085,                0.00028,                 2.3734,                 5.7636,                 4.1303,              0.0011663,              0.0011663,              0.0011663
                      8,                 2.9824,                 6.5816,                 3.7907,                0.00123,                0.38596,                0.00092,                0.00028,                 2.4563,                 6.0078,                 4.0674,              0.0013216,              0.0013216,              0.0013216
                      9,                 2.8201,                 5.8528,                  3.591,                0.00123,                0.36842,                0.00087,                0.00024,                 2.7624,                 6.1605,                 4.0131,              0.0014733,              0.0014733,              0.0014733
                     10,                 2.8299,                  6.396,                 3.4148,                0.00057,                0.38596,                0.00066,                0.00017,                  2.538,                  6.409,                 4.1018,              0.0016214,              0.0016214,              0.0016214
                     11,                 2.7975,                 5.2121,                 3.3826,                0.00046,                0.26316,                0.00038,                  8e-05,                  2.349,                 5.9685,                 4.3285,               0.001766,               0.001766,               0.001766
                     12,                 2.8081,                 5.5157,                 3.2975,                0.00111,                0.50877,                0.00087,                0.00028,                 2.9251,                 6.1705,                 3.8547,              0.0017822,              0.0017822,              0.0017822
                     13,                  2.713,                 4.9896,                 3.1792,                0.00076,                0.45614,                0.00063,                0.00016,                 2.5465,                 6.1293,                  4.185,              0.0017624,              0.0017624,              0.0017624
                     14,                  2.653,                 4.9924,                 3.0711,                0.00074,                 0.4386,                0.00057,                0.00015,                 2.3987,                 5.8155,                 4.3039,              0.0017426,              0.0017426,              0.0017426
                     15,                 2.5756,                  4.605,                  3.015,                0.00098,                0.66667,                0.00632,                0.00256,                 2.3452,                 6.2307,                 3.9929,              0.0017228,              0.0017228,              0.0017228
                     16,                 2.7743,                 5.4742,                 3.2104,                0.01845,                0.08772,                 0.0068,                0.00276,                 2.4321,                 7.1119,                 3.6883,               0.001703,               0.001703,               0.001703
                     17,                 2.7938,                   4.12,                 3.0808,                0.09557,                 0.2807,                0.06131,                0.02338,                 2.3317,                 6.1317,                 3.2716,              0.0016832,              0.0016832,              0.0016832
                     18,                 2.6609,                 4.3701,                 3.0097,                0.02189,                0.77193,                0.09302,                0.03963,                 2.3136,                 4.8811,                 2.8988,              0.0016634,              0.0016634,              0.0016634
                     19,                 2.9046,                 4.2439,                 3.1482,                0.00257,                0.96491,                0.03324,                0.01468,                 2.3324,                 5.1236,                 2.8001,              0.0016436,              0.0016436,              0.0016436
                     20,                 2.8561,                 4.9168,                 3.1361,                0.00144,                      1,                 0.0609,                0.02672,                 2.2543,                 4.7571,                 2.6448,              0.0016238,              0.0016238,              0.0016238
                     21,                 2.8134,                  4.126,                 3.0334,                0.19587,                0.33333,                0.19693,                 0.0682,                 2.3358,                 5.4022,                 2.7638,               0.001604,               0.001604,               0.001604
                     22,                 2.6372,                 3.8694,                 2.8766,                0.20038,                0.36842,                0.20458,                0.05683,                 2.5001,                 14.176,                 3.5719,              0.0015842,              0.0015842,              0.0015842
                     23,                 2.7072,                 3.7336,                 2.9424,                0.02927,                0.54386,                0.02884,                0.01132,                 2.3667,                 63.878,                 2.7806,              0.0015644,              0.0015644,              0.0015644
                     24,                 2.7119,                 3.6093,                 2.9298,                0.02493,                0.14035,                0.02401,                0.00925,                 2.3798,                 4.6458,                 2.6172,              0.0015446,              0.0015446,              0.0015446
                     25,                 2.7844,                 3.6949,                 3.0213,                0.10515,                 0.1938,                 0.1056,                0.04175,                 2.3592,                 3.8213,                 2.6258,              0.0015248,              0.0015248,              0.0015248
                     26,                 2.6698,                  3.311,                 2.9611,                0.13822,                0.54386,                0.12031,                0.05176,                 2.3404,                 7.5274,                  2.912,               0.001505,               0.001505,               0.001505
                     27,                 2.7271,                 3.5355,                 2.9725,                0.04898,                 0.4386,                 0.0583,                 0.0231,                 2.3666,                 9.5077,                 3.6364,              0.0014852,              0.0014852,              0.0014852
                     28,                  2.595,                 3.3949,                 2.9208,                0.09189,                0.54386,                0.09048,                0.03997,                 2.2999,                 3.5788,                 2.9977,              0.0014654,              0.0014654,              0.0014654
                     29,                 2.7611,                 3.4674,                 3.0382,                0.18307,                0.34991,                0.14043,                0.05217,                 2.3834,                  4.801,                 2.9214,              0.0014456,              0.0014456,              0.0014456
                     30,                 2.5667,                 3.2795,                 2.8956,                0.31715,                0.42105,                 0.3327,                0.12934,                 2.2706,                 3.7924,                 2.6508,              0.0014258,              0.0014258,              0.0014258
                     31,                  2.695,                 3.3218,                 2.8724,                0.28216,                0.35088,                0.26946,                 0.1201,                 2.2501,                 3.6842,                 2.5837,               0.001406,               0.001406,               0.001406
                     32,                 2.7776,                 3.2686,                 3.0631,                 0.1205,                 0.5614,                0.12096,                0.04336,                 2.3655,                 3.9262,                 2.7128,              0.0013862,              0.0013862,              0.0013862
                     33,                 2.7498,                 3.0587,                 3.0246,                0.05623,                0.36842,                0.06423,                0.02507,                 2.4375,                 4.6684,                 2.7535,              0.0013664,              0.0013664,              0.0013664
                     34,                 2.7084,                  2.895,                  3.052,                0.23612,                0.15789,                0.10471,                0.02601,                 2.3458,                 5.4515,                 2.6845,              0.0013466,              0.0013466,              0.0013466
                     35,                 2.6946,                 3.0268,                 2.9895,                0.37491,                0.22807,                0.27024,                0.05424,                 2.2792,                 7.1586,                 2.6146,              0.0013268,              0.0013268,              0.0013268
                     36,                 2.6882,                 2.8738,                 2.9608,                0.51464,                0.47368,                0.54481,                0.18793,                 2.2469,                 3.2219,                 2.5492,               0.001307,               0.001307,               0.001307
                     37,                 2.6214,                  3.202,                 2.8402,                0.34283,                 0.5614,                0.39547,                 0.1803,                  2.427,                 2.9502,                 2.6222,              0.0012872,              0.0012872,              0.0012872
                     38,                 2.6608,                 3.1854,                 2.9105,                0.26307,                0.66667,                0.34452,                0.13874,                 2.5525,                 2.9391,                 2.7521,              0.0012674,              0.0012674,              0.0012674
                     39,                 2.5989,                 2.8797,                 2.8753,                 0.1869,                0.50877,                0.21326,                0.07668,                  2.441,                 2.9986,                 2.6747,              0.0012476,              0.0012476,              0.0012476
                     40,                 2.8269,                 3.3857,                 3.0361,                0.15663,                0.22807,                0.13792,                0.04341,                 2.3805,                 3.2827,                 2.6652,              0.0012278,              0.0012278,              0.0012278
                     41,                 2.6161,                 2.8341,                 2.8947,                0.29355,                0.51764,                0.28515,                0.09459,                  2.354,                 2.9263,                 2.5917,               0.001208,               0.001208,               0.001208
                     42,                 2.5452,                 2.6949,                 2.8127,                0.32242,                0.66667,                0.38032,                0.13926,                 2.4148,                 2.6123,                 2.6272,              0.0011882,              0.0011882,              0.0011882
